id,stage,title,basis,entry,visible,actions,agency,cost,immediate,delayed,rule,next,branches,friction,evidence
J00,进入,首次启动与账号建立,推导入口＋静态文本；未重置账号实测,首次打开微信小游戏、资源加载与账号登录成功。登录方式、授权弹窗、实名弹窗出现顺序没有录屏证据。,进入游戏并加载主场景；本地有登录失败文本，但不能由此还原每个启动弹窗。,打开小游戏→等待加载→在实际出现的合法登录/授权界面自行完成→进入训练或主界面。,平台入口由玩家自主；训练是否可跳过未确认。,网络、加载时间；没有证据证明入场需扣金币或体力。资源表存在耐力不等于当前玩法使用体力。,账号状态初始化。局外金币20005默认100、宝石20006默认5、经验20007默认0，只是默认值，不是已核实首登录礼包。,训练完成后进入成长循环；未确认另有强制首登奖励。,这是账号持续成长的入口，局内金币与局外金币不要混账。,J01；若直接到主界面，按未完成教程状态由运行时调度，不能断言是异常。,登录失败→重试/退出；加载中退出→续载与教程恢复点未知。不能用清缓存验证。,加载等待及多层授权可能在玩法价值出现前造成流失。设计作用是建立持续身份。,"GlobalBaseAssetsInfo#20003,20005,20006,20007（全局基础资源信息）:defaultValue（默认值）；I2Terms#LoginFailed,Login_Failed（本地化文本词条）"
J01,训练,欢迎与进入训练,明确教程边；入口调度待验证,运行时选择教程16001。该节点在静态图中无前驱，但这不等于确定的首启函数。,欢迎语→开始训练对战→聚焦领主塔。,确认16001、16002说明→到1001。,说明型引导；是否允许跳过整段未确认。,只读说明，无明确资源消耗。,进入受控的训练教学段。,后续训练奖励另在J06处理。,先学习战斗，不先学习商店和完整养成。,J02。静态实线为16001→16002→1001。,中断/退出后的重播位置未确认；不应把缺少跳过字段写成一定不可跳过。,两次说明确认后才操作，提供语境但也增加首个有效动作前的等待。,"GlobalTutorialInfo#16001,16002,1001（全局教程流程信息）:nextId（后继编号）,tutorialActionType（交互类型）"
J02,训练,第一次产钱、翻矿、翻兵营,明确教程链＋两版训练地图,J01到1001，或调度器直接进入1001。,领主塔高亮→金币栏→指定金矿地块→金矿→一星格→产兵建筑。,读主塔产金币→读购买规则→点指定金矿格→观察矿产金币→点一星格→观察单位自动攻击。,1003、1005是目标点击型强指向；其余为说明型。蒙版存在，整体跳过能力未知。,地图1的初始局内金币：Sheet1=100、Sheet2=150；一星基础格价50，两个指定格若均采用该价共100。实际训练扣费/特殊矿价未核。,战场多出金矿与兵营，开始产生可见经济/兵线反馈；不是局外获得同名卡牌。,矿带来后续翻格预算，兵营带来占地和胜利机会。,自动经济→投入→自动产兵→继续投入；玩家控制建设位置，不逐个操纵士兵。,1006结束回调SteerOpenHexEnd（翻格引导结束，推测）→运行时续播/放手；J03并非由1006的nextId直接相连。,金币不足→等产出；指定按钮不可点→是否暂停、补资源或纠错待查。退出恢复未知。,先给矿再给兵让玩家在低风险环境建立因果。两个地图版本的预算不同，会影响是否需要等待。,"GlobalTutorialInfo#1001-1006（全局教程流程信息）:maskPoints（聚焦目标）,startTriggerEvent（开始阶段事件字段）,endTriggerEvent（结束阶段事件字段）；GlobalTrainingMapInfoSheet1#1（训练地图信息·Sheet1）;GlobalTrainingMapInfoSheet2#1（训练地图信息·Sheet2）:playerInitialCoin（玩家初始局内金币）,hexConfigs（固定格子配置）；GlobalHexInfo（全局六边形地块信息）"
J03,训练,训练战斗放手与胜利目标,静态节点；与J02的调用连接未恢复,调度到1007/1008；相机转向敌方或训练进程达到指定阶段，精确触发条件缺失。,摧毁敌方所有建筑的目标说明、敌方主塔、继续游戏提示。,确认说明→继续翻格→观察自动对抗→完成训练场景。,说明之后推导为自主练习；不能保证训练必胜。,局内金币与操作时间。,理解攻击方向和战斗结束目标。,训练完成奖励见J06；1008结束事件名称提示可能显示卡牌概率面板，未确认真实显示内容。,兵营不是即时伤害按钮，部队需要产出与行进。,按选中训练分支进入J04/J05或返回主界面J06；不把所有训练表行视为必经关。,训练失败的重试、奖励发放与教程跳转未找到明确脚本；记录为待验证，不假设免费复活。,从强指向点击转向自由操作是第一次能力检验。若目标解释只讲拆建筑，会遗漏超时占地路径，J04承担补充。,"GlobalTutorialInfo#1007,1008（全局教程流程信息）:endTriggerEvent（结束阶段事件字段）；I2Terms#SteerTutorialContent_1007（本地化文本词条）"
J04,训练分支,防守发育、僵局与未知格,Sheet1地图2与教程的内容/坐标关联；不是已证实必经第2局,若选择Sheet1地图2，存在防御塔、矿、桥形地形与未知格教学素材；17001、17003、18001之间无直接后继边。,周边缺兵营的防御局面→连续两座塔→矿→僵局提示→顶部占地计时→未知格；另有龙骑士教学配置。,17001→17002点两塔；调度17003点矿；18001→18002→18003→18004讲超时占地并点未知格。,指定点击与说明交替，阶段之间由未恢复的运行时调度。,Sheet1地图2玩家/敌方初始局内金币100/100；连续点击成本是否由教学补钱承接待核。未知格基础价25。,固定防线、经济建筑及未知格反馈；传奇演示不等于永久赠送传奇卡。,将防守创造的时间转成经济和占地优势。,拆不动也可比占地；先防守后经济是一种情境策略，推翻无条件先矿的攻略模板。,可能出现1015传奇自动技能说明；转J05或J06依运行时分支。,另一份Sheet2地图2为矩形且双方50金币，不能套用此桥形脚本；早胜、早败如何打断教学未知。,敌人初始两次翻格间隔0/0.05，形成脚本化压力；教学把危险转成可控的策略演示。时间单位依运行时未核。,"GlobalTrainingMapInfoSheet1#2（训练地图信息·Sheet1）:enemyFlipIntervals（敌方翻格间隔序列）,dragonKnightConfig（龙骑士教学配置）,cameraLimitBounds（相机限制/释放事件配置）；GlobalTrainingMapInfoSheet2#2（训练地图信息·Sheet2）；GlobalTutorialInfo#17001-17003,18001-18004,1015（全局教程流程信息）"
J05,训练分支,引流、拉扯与侧路偷袭,仅Sheet1有地图3；明确子链，根调度未知,若进入Sheet1地图3及190xx策略训练；Sheet2没有第3条地图。,敌方骷髅巨人→我方兵营→两个右侧未知格→防御塔→敌军路线改变→左路偷袭提示。,19001→19002点兵营；另由调度进入19003→19004→19005→19006→19007；19008提示从左侧继续扩张。,前段指定位置操作，末段自主执行。,玩家初始50、敌方200局内金币；桥形固定布局。每步是否等待自然收入未知。,新建筑吸引无目标单位，给己方远程争取输出窗口。,侧翼兵线可能绕过主战场推进基地。,无攻击目标的单位优先受直线距离最近建筑吸引；不等于所有已锁定单位立刻改目标。,结束回调TutorAttractionStrategyEnded/TutorStrategyEnded（拉扯/策略教学结束，推测），再回主循环J06/J10。,跳过该训练的玩家可能从未系统学习拉扯；退出恢复、场景失败均未确认。,这是位置策略的高价值教学，但它作为哪批玩家必经内容尚不确定。,"GlobalTrainingMapInfoSheet1#3（训练地图信息·Sheet1）:enemyFlipHexSeq（敌方翻格顺序）,cameraLimitBounds（相机限制配置）；GlobalTutorialInfo#19001-19008（全局教程流程信息）"
J06,首次回城,训练奖励与第一份成长预算,三套奖励来源并列；领取时序未确认,训练完成、奖励/主界面出现。,训练完成奖励、初始卡牌、升级提示；既有账号界面记录为8/43图鉴。,确认训练奖励→检查卡牌和材料→进入升级引导。另有9001→9002→9003指向竞技场进度页的训练完成奖励领取按钮，支持通用卡训练奖的领取路径，但与骷髅升级教学的桥接未恢复。,领取/说明可能引导；精确弹窗栈未知。,领取本身无已知消耗。,训练地图1配置1003:9（骷髅战士9份）；奖杯训练节点0配置20012:6（稀有通用卡6）；竞技场1进入节点1000另有金币60、宝石10、木箱4001。三者不视为必定同时发放。,用于首次升级、通用卡兑换或首箱体验；何时真实到账须看奖励领取。,训练奖励、进入竞技场节点奖、胜利掉落属于不同账目。,J07；J08/J14可由分支插入，未确认固定总顺序。,发现数量不一致→核对奖励来源/是否已领，而非推断丢奖励；满槽如何放入节点箱未知。,确定性材料托底可避免刚教会升级就因碎片不足而卡住；地图奖励与训练进度奖励是否同时发放、先后如何仍需验证。,"GlobalTrainingMapInfoSheet1#1,GlobalTrainingMapInfoSheet2#1（训练地图信息两版）:gameTutorEndReward（训练结束奖励）；GlobalTrophyProgressInfo#0,1000（奖杯进度与节点奖励信息）；既有报告2.2（上一轮界面8/43，非本轮首启实测）"
J07,首次养成,首次升级骷髅战士,明确点击链；AB后继不确定,调度教程1009；若玩家有升级预算可执行。训练奖励支持这一设计，但无直接J06→1009表内边。,卡牌页→骷髅卡详情→升级按钮→关闭→战斗页。,1009→1010→1011升级→1012关闭→1013返回战斗；1014开始匹配是带AB条件的候选后继。,强指向点击，1011确实指向升级按钮，不只是说明。,若骷髅战士为1级普通卡：公式需4份同卡＋5局外金币升2级。若初始等级/材料被覆盖，以界面为准。,骷髅战士永久等级/属性成长；若9份是本分支已到账碎片且此前未消耗，第一次升级后剩5份。,下局相应兵营/单位能力提升；继续升3级需9份及40金币，单靠剩余5份不足。,升级是双资源门槛：同卡碎片和金币缺一不可。,J10或插入J14；按条件分支，不断言首箱一定在首次正式战斗前/后。,缺碎片→J08；缺金币→J15；教程强指向期间是否允许离开筹资未知。,一次成功培养把战斗所得变成可见增强，下一次碎片缺口自然导向开箱与通用卡。,GlobalTutorialInfo#1009-1014（全局教程流程信息）；GlobalHeroCardInfoSheet5#1003（全局英雄卡牌信息）:upLevelRequireCount（升级卡牌份数公式）；GlobalFormulasInfo#10010（全局数值公式信息）:priceFormula（价格公式）
J08,首次养成,通用卡领取与补足碎片,领取链＋兑换链；两链之间的运行时桥接待核,训练完成奖励可领取时进入9001；获得对应品质通用卡后可进入9004兑换教学。训练节点奖励为稀有通用卡，不能拿它补普通骷髅战士。,竞技场进度页的训练完成奖励→卡牌页/卡牌详情中的通用卡按钮→兑换确认→升级所需份数进度。,领取链9001→9002→9003，9003明确指向TrophyProgressItem_Training_Guid（训练进度项）的BtnClaimCompleteReward（领取完成奖励按钮）；兑换链9004→9005→9006→9007确认兑换→9008→9009。没有9003→9004的显式后继，不能保证连续自动播放。,教程内指向兑换确认；教程外兑换对象由玩家自主选。,消耗对应品质通用卡；数量依兑换面板，不应假定教学一次兑换6份。,领取端对应训练节点稀有通用卡6份的配置线索；兑换端增加已拥有、同品质目标卡的份数。9008为说明型，不能认定它又自动执行升级。,与金币凑齐后才能真正升级。,通用卡补的是已拥有卡；随机新卡5017用于解锁收藏，两者不能替代。,J07/J15/J22；9009明确把更多通用卡来源指向活动或商店。,品质不符/未拥有目标/数量不足→换合法目标或保留资源；没有确认无损撤销。,把随机掉落转换为可定向投入，降低核心卡缺片挫折，同时增加资源规划要求。,"GlobalTutorialInfo#9001-9009（全局教程流程信息）；I2Terms#GameAssetUniversalCardR_Explain,GameAssetUniversalCardSR_Explain（本地化文本词条）；GlobalBaseAssetsInfo#20011-20014（全局基础资源信息）"
J09,首次养成,首次查看羁绊与调整卡组,明确羁绊教学；首次换卡动作是可选推导,教程1016或玩家打开卡牌页；获得可用新卡后才有更广调整空间。,阵容区、兽人羁绊按钮、两名兽人激活一级协作的说明。,1016→1017看羁绊→1018读说明→1019查看全阵容；自主比较等级/角色/羁绊后换卡并回战斗试用。,查看羁绊由教程指向；没有看到强制换入某张新卡的完整步骤链。,查看/普通装备无已知材料费；为新卡升级才花材料。,阵容与羁绊预览改变；永久解锁卡不会因未装备而消失。,改变下局翻格候选与组合效果；具体卡池抽取调用未恢复，不承诺指定格必出指定卡。,卡组不是八张最高稀有度堆叠，要考虑经济、近远程、出兵间隔与2/4/6种族档。,J10/J11，用真实局面检验搭配。,想卸金矿时存在不要放弃金矿的提示，是否硬性禁止需确认；A/B羁绊文本不同，以当前面板为准。,从照做升级转为有目标的自主构筑；传奇演示容易让新手误以为品质决定一切。,"GlobalTutorialInfo#1016-1019（全局教程流程信息）；I2Terms#CantEquipCardTip_GoldMine,HeroCardPanel_OrcsFettersBuff（本地化文本词条）；GlobalHeroCardInfoSheet5（全局英雄卡牌信息）"
